抗生素	抗生素上标	抗生素说明	分级	分级说明	尿检	所在表格	表格名称	表格名称上标
"Cefotaxime
Ceftriaxone"			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1N	Streptococcus spp	
Cefepime			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1N	Streptococcus spp	
Vancomycin			Tier 2	Antimicrobial agents that are appropriate for routine, primary testing but may be reported following cascade reporting rules established at each institution		Table 1N	Streptococcus spp	
"Linezolid
Tedizolid"	c		Tier 3	Antimicrobial agents that are appropriate for routine, primary testing in institutions that serve patients at high risk for MDROs but should only be reported following cascade reporting rules established at each institution		Table 1N	Streptococcus spp	
Dalbavancin	a,c		Tier 3	Antimicrobial agents that are appropriate for routine, primary testing in institutions that serve patients at high risk for MDROs but should only be reported following cascade reporting rules established at each institution		Table 1N	Streptococcus spp	
Oritavancin	a		Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1N	Streptococcus spp	
Telavancin	a		Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1N	Streptococcus spp	
Ceftolozane-tazobactam			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1N	Streptococcus spp	
Clindamycin	d		Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1N	Streptococcus spp	
Erythromycin	d,e		Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1N	Streptococcus spp	
Levofloxacin			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1N	Streptococcus spp	
"Amoxicillin-clavulanate
Ampicillin-sulbactam
Piperacillin-tazobactam"			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1O	Gram-Negative Anaerobes	
Clindamycin			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1O	Gram-Negative Anaerobes	
"Ertapenem
Imipenema
Meropenem"	a		Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1O	Gram-Negative Anaerobes	
Imipenem-relebactam			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1O	Gram-Negative Anaerobes	
Metronidazole			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1O	Gram-Negative Anaerobes	
"Penicillinb
Ampicillin"	b		Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1O	Gram-Negative Anaerobes	
"Cefotetan
Cefoxitin"			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1O	Gram-Negative Anaerobes	
Ceftriaxone			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1O	Gram-Negative Anaerobes	
Moxifloxacin			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1O	Gram-Negative Anaerobes	
"Ampicillina
Penicillin"	a		Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1P	Gram-Positive Anaerobes	
"Amoxicillin-clavulanate
Ampicillin-sulbactam
Piperacillin-tazobactam"			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1P	Gram-Positive Anaerobes	
Clindamycin			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1P	Gram-Positive Anaerobes	
"Ertapenem
Imipenemb
Meropenem"	b		Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1P	Gram-Positive Anaerobes	
Imipenem-relebactam			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1P	Gram-Positive Anaerobes	
Metronidazole	c		Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1P	Gram-Positive Anaerobes	
"Cefotetan
Cefoxitin"			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1P	Gram-Positive Anaerobes	
Ceftriaxone			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1P	Gram-Positive Anaerobes	
  			Tier 3	Antimicrobial agents that are appropriate for routine, primary testing in institutions that serve patients at high risk for MDROs but should only be reported following cascade reporting rules established at each institution		Table 1P	Gram-Positive Anaerobes	
Moxifloxacin			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1P	Gram-Positive Anaerobes	
Tetracycline			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1P	Gram-Positive Anaerobes	
